Class,Subclass_1,Subclass_2,Subclass_3,Subclass_4,KEGG
Lipids,Fatty acyls,Eicosanoids,Hydroxy/hydroperoxyeicosatrienoic acids,none,C05356
Lipids,Fatty acyls,Eicosanoids,Hydroxy/hydroperoxyeicosatrienoic acids,none,C14823
Lipids,Fatty acyls,Eicosanoids,Hydroxy/hydroperoxyeicosatrienoic acids,none,C04822
Lipids,Fatty acyls,Eicosanoids,Hydroxy/hydroperoxyeicosatrienoic acids,none,C14821
Lipids,Fatty acyls,Eicosanoids,Hydroxy/hydroperoxyeicosatrienoic acids,none,C14820
Lipids,Fatty acyls,Eicosanoids,Hydroxy/hydroperoxyeicosatrienoic acids,none,C05965
Lipids,Fatty acyls,Eicosanoids,Hydroxy/hydroperoxyeicosatrienoic acids,none,C14812
Lipids,Fatty acyls,Eicosanoids,Hydroxy/hydroperoxyeicosatrienoic acids,none,C05966
Lipids,Fatty acyls,Eicosanoids,Hydroxy/hydroperoxyeicosatrienoic acids,none,C04805
Lipids,Fatty acyls,Eicosanoids,Hydroxy/hydroperoxyeicosatrienoic acids,none,C14776
Lipids,Fatty acyls,Eicosanoids,Hydroxy/hydroperoxyeicosatrienoic acids,none,C14824
Lipids,Fatty acyls,Eicosanoids,Hydroxy/hydroperoxyeicosatrienoic acids,none,C14779
Lipids,Fatty acyls,Eicosanoids,Hydroxy/hydroperoxyeicosatrienoic acids,none,C14780
Lipids,Fatty acyls,Eicosanoids,Hydroxy/hydroperoxyeicosatrienoic acids,none,C14777
Lipids,Fatty acyls,Eicosanoids,Hydroxy/hydroperoxyeicosatrienoic acids,none,C14822
Lipids,Fatty acyls,Eicosanoids,Hydroxy/hydroperoxyeicosatrienoic acids,none,C04742
Lipids,Fatty acyls,Eicosanoids,Hydroxy/hydroperoxyeicosatrienoic acids,none,C14778
Lipids,Fatty acyls,Eicosanoids,Hydroxy/hydroperoxyeicosatrienoic acids,none,C14749
Lipids,Fatty acyls,Eicosanoids,Hydroxy/hydroperoxyeicosatrienoic acids,none,C14748
Lipids,Fatty acyls,Eicosanoids,Hydroxy/hydroperoxyeicosatrienoic acids,none,C14732
Lipids,Fatty acyls,Eicosanoids,Hydroxy/hydroperoxyeicosatrienoic acids,none,C14807
Lipids,Fatty acyls,Eicosanoids,Hydroxy/hydroperoxyeicosatrienoic acids,none,C04577
Lipids,Fatty acyls,Eicosanoids,Hydroxy/hydroperoxyeicosatrienoic acids,none,C14815
Lipids,Fatty acyls,Eicosanoids,Hydroxy/hydroperoxyeicosatrienoic acids,none,C18171
Lipids,Fatty acyls,Eicosanoids,Hydroxy/hydroperoxyeicosatrienoic acids,none,C18173
Lipids,Fatty acyls,Eicosanoids,Hydroxy/hydroperoxyeicosatrienoic acids,none,C18175
Lipids,Fatty acyls,Eicosanoids,Hydroxy/hydroperoxyeicosatrienoic acids,none,C18176
Lipids,Fatty acyls,Eicosanoids,Hydroxy/hydroperoxyeicosatrienoic acids,none,C18177
Lipids,Fatty acyls,Eicosanoids,Epoxyeicosatrienoic acids,none,C14813
Lipids,Fatty acyls,Eicosanoids,Epoxyeicosatrienoic acids,none,C14781
Lipids,Fatty acyls,Eicosanoids,Hepoxilins,none,C04849
Lipids,Fatty acyls,Eicosanoids,Hepoxilins,none,C04843
Lipids,Fatty acyls,Eicosanoids,Hepoxilins,none,C14808
Lipids,Fatty acyls,Eicosanoids,Hepoxilins,none,C14810
Lipids,Fatty acyls,Eicosanoids,Hepoxilins,none,C14809
Lipids,Fatty acyls,Eicosanoids,Hepoxilins,none,C14811
Lipids,Fatty acyls,Eicosanoids,Levuglandins,none,C13807
Lipids,Fatty acyls,Eicosanoids,Levuglandins,none,C13808
Lipids,Fatty acyls,Eicosanoids,Isoprostanes,none,C13809
Lipids,Fatty acyls,Eicosanoids,Isoprostanes,none,C14794
Lipids,Fatty acyls,Eicosanoids,Clavulones and derivatives,none,C13810
Lipids,Fatty acyls,Eicosanoids,Clavulones and derivatives,none,C13812
Lipids,Fatty acyls,Eicosanoids,Clavulones and derivatives,none,C13813
Lipids,Fatty acyls,Eicosanoids,Clavulones and derivatives,none,C13814
Lipids,Fatty acyls,Eicosanoids,Other Eicosanoids,none,C13843
Lipids,Fatty acyls,Fatty esters,Wax monoesters,none,C13821
Lipids,Fatty acyls,Fatty esters,Wax diesters,none,C13822
Lipids,Fatty acyls,Fatty esters,Cyano esters,none,C13845
Lipids,Fatty acyls,Fatty esters,Lactones,none,C13823
Lipids,Fatty acyls,Fatty esters,Fatty acyl CoAs,none,C00888
Lipids,Fatty acyls,Fatty esters,Fatty acyl CoAs,none,C05270
Lipids,Fatty acyls,Fatty esters,Fatty acyl CoAs,none,C01944
Lipids,Fatty acyls,Fatty esters,Fatty acyl CoAs,none,C01942
Lipids,Fatty acyls,Fatty esters,Fatty acyl CoAs,none,C05274
Lipids,Fatty acyls,Fatty esters,Fatty acyl CoAs,none,C01832
Lipids,Fatty acyls,Fatty esters,Fatty acyl CoAs,none,C02593
Lipids,Fatty acyls,Fatty esters,Fatty acyl CoAs,none,C00154
Lipids,Fatty acyls,Fatty esters,Fatty acyl CoAs,none,C00412
Lipids,Fatty acyls,Fatty esters,Fatty acyl CoAs,none,C02041
Lipids,Fatty acyls,Fatty esters,Fatty acyl CoAs,none,C16528
Lipids,Fatty acyls,Fatty esters,Fatty acyl CoAs,none,C16529
Lipids,Fatty acyls,Fatty esters,Fatty acyl CoAs,none,C02451
Lipids,Fatty acyls,Fatty esters,Fatty acyl CoAs,none,C05271
Lipids,Fatty acyls,Fatty esters,Fatty acyl CoAs,none,C05276
Lipids,Fatty acyls,Fatty esters,Fatty acyl CoAs,none,C05275
